Date,Temp_Min,Temp_Max,Temp,WS,WD,HUM,PRE,SP
01-01-2016,16.08,33.67,23.8,1.99,159.19,5.98,0,99.16
02-01-2016,16.2,33.15,24.1,1.98,174,5.62,0,99.14
03-01-2016,14.25,31.7,22.07,2.48,47.5,5.86,0,99.03
04-01-2016,13.67,31.64,21.65,2.86,65.56,5.74,0,99.1
05-01-2016,13.27,31.69,21.84,2.17,84.12,5,0,99.01
06-01-2016,13.1,32.33,22.25,2,98.88,4.64,0,99
07-01-2016,14.06,31.86,22.46,2.33,110.75,5.62,0,99.06
08-01-2016,14.51,32.08,23.59,1.55,179.75,5.55,0,99
09-01-2016,16.74,32.35,24.31,1.83,291.75,5.49,0,98.8
10-01-2016,14.54,31.36,22.24,2.45,107.25,5.19,0,98.98
11-01-2016,14.67,31.58,22.59,1.98,48.06,5.31,0,98.99
12-01-2016,15.2,32.03,22.9,1.9,64.25,4.33,0,98.8
13-01-2016,14.71,31.87,22.71,2.11,141.31,4.7,0,98.68
14-01-2016,15.2,31.75,22.76,3.43,146.12,5.98,0,98.72
15-01-2016,16.8,31.55,23.77,3.19,159.44,7.51,0,98.64
16-01-2016,18.25,31.68,24.54,2.73,165.38,7.57,0,98.54
17-01-2016,19.6,31.4,24.88,3,147.75,7.69,0.02,98.51
18-01-2016,19.43,31.72,24.99,3.25,168.31,7.87,0.01,98.46
19-01-2016,18.96,30.04,23.84,4.58,207.38,9.4,0.54,98.46
20-01-2016,14.95,29.18,21.15,3.48,136,6.84,0,98.8
21-01-2016,11.66,27.94,18.87,3.87,129.88,3.54,0,99.08
22-01-2016,8.95,28.07,17.7,3.5,40.06,2.87,0,99.14
23-01-2016,8.44,29.52,18.06,3.04,50.44,2.56,0,99.16
24-01-2016,9.21,31.33,19.51,2.58,143.62,2.44,0,99.03
25-01-2016,11.69,31.31,21.02,2.01,146.5,3.23,0,98.84
26-01-2016,14.01,32.05,22.82,2.08,132.44,7.08,0,98.72
27-01-2016,16.34,33.45,23.79,2.44,243.75,6.35,0,98.64
28-01-2016,12.51,33.37,23.01,2.5,140.81,3.54,0,98.77
29-01-2016,13.51,34.08,23.54,3.05,48.31,4.46,0,98.93
30-01-2016,15.75,35.48,25.62,1.37,213.31,4.46,0,98.86
31-01-2016,17.17,36.2,26.62,1.65,267.88,3.72,0,98.73
01-02-2016,16.61,36.12,26.07,2.15,265.31,4.52,0,98.76
02-02-2016,16.58,35.95,25.62,2.3,184.81,4.46,0,98.77
03-02-2016,15.18,34.46,24.3,3.02,125.5,4.88,0,98.74
04-02-2016,14.34,33.69,23.36,3.2,72.06,4.03,0,98.81
05-02-2016,13.97,34.02,24.34,1.94,121.38,4.09,0,98.71
06-02-2016,15.4,34.51,25.48,3.38,139.06,7.02,0,98.49
07-02-2016,20.33,34.8,27.54,3.45,182.25,9.95,0,98.61
08-02-2016,18.55,34.46,25.97,2.45,161.94,5.31,0,98.7
09-02-2016,15.11,33.68,24.72,2.38,116.38,4.58,0,98.7
10-02-2016,18.46,35.09,27.09,3.02,153.5,7.87,0,98.44
11-02-2016,22.15,35.43,27.77,2.76,256.31,7.45,0,98.35
12-02-2016,18.62,35.62,27.11,2.02,105.38,5.74,0,98.38
13-02-2016,22.24,36.01,27.9,2.9,234.69,8.12,0,98.46
14-02-2016,18.21,35.19,27.42,2.55,133.19,6.9,0,98.6
15-02-2016,23.94,35.48,28.75,3.6,149.56,8.91,0,98.68
16-02-2016,20.37,36.33,27.55,4.46,158.5,7.26,0,98.78
17-02-2016,18.39,36.45,27.81,2.87,130.62,6.29,0,98.85
18-02-2016,18.65,36.87,27.92,2.49,167.25,6.41,0,98.78
19-02-2016,18.58,37.69,28.01,3.27,169,5.25,0,98.83
20-02-2016,20.11,39,30.01,1.88,254.44,5,0,98.72
21-02-2016,23.32,38.94,30.65,1.92,260.81,6.65,0,98.57
22-02-2016,23.3,39.37,31.61,1.62,122.06,8.36,0,98.62
23-02-2016,23.4,38.44,31.01,1.86,152.75,8.06,0,98.47
24-02-2016,24.4,39.01,31.24,3.35,165.94,8.91,0,98.32
25-02-2016,24.08,38.5,30.87,4.55,148.12,9.64,0,98.43
26-02-2016,23.9,36.44,30.01,4.25,163.69,12.08,1.8,98.67
27-02-2016,23.85,36.31,29.98,3.14,153.12,11.54,0.55,98.81
28-02-2016,24.46,36.77,30.12,2.84,115.44,10.68,1.93,98.93
29-02-2016,25.4,34.34,28.76,2.57,119.69,12.7,6.1,98.94
01-03-2016,22.73,34.22,28.09,1.51,204.69,13.73,1.7,98.79
02-03-2016,22.92,35.09,28.73,1.52,122.38,12.15,0.39,98.78
03-03-2016,21.9,36.98,29.65,1.29,77.69,8.67,0,98.82
04-03-2016,23.58,37.51,30.07,1.23,272.06,8.97,1.22,98.64
05-03-2016,21.53,36.37,28.9,2.04,193.75,11.54,4.74,98.52
06-03-2016,22.83,33.9,27.56,2.81,153.19,10.99,0.87,98.5
07-03-2016,21.16,37.81,28.82,4.38,155.81,9.16,0.01,98.42
08-03-2016,21.67,38.74,30.01,3.62,186.88,7.75,0,98.33
09-03-2016,22.48,35.69,29.44,3.19,175.94,8.36,0,98.43
10-03-2016,22.27,38.62,30.84,2.2,203.94,8.12,0,98.49
11-03-2016,23.61,38.26,30.56,1.93,157.75,7.81,0,98.53
12-03-2016,24.87,39.74,31.65,4.77,169.25,8.48,0.5,98.31
13-03-2016,23.58,38.39,30.27,3.23,200.88,8.85,0.57,98.29
14-03-2016,24.26,37.94,30.3,2.78,243.38,9.89,0.22,98.41
15-03-2016,20.55,36.9,28.94,1.91,127.19,10.01,2.42,98.46
16-03-2016,22.15,36.39,29.19,2.5,84.81,12.27,1.62,98.44
17-03-2016,23.75,38.26,31.02,3.08,105.12,11.9,0.01,98.37
18-03-2016,24.88,40.31,32.49,2.61,234.19,11.35,0,98.27
19-03-2016,24.35,40.98,32.3,3.02,287.88,8.06,0,98.29
20-03-2016,23.61,41.1,32.04,3.8,318.75,6.47,0,98.34
21-03-2016,22.82,40.97,31.19,4.29,307.94,4.15,0,98.24
22-03-2016,19.85,40.76,30.62,2.97,165.5,4.09,0,98.17
23-03-2016,20.26,41.53,31.66,2.57,111.31,3.66,0,98.3
24-03-2016,19.79,41.84,30.83,2.97,68.94,3.05,0,98.52
25-03-2016,19.9,41.36,31.62,2.77,113.06,6.29,0,98.57
26-03-2016,23.43,41.78,32.8,2.99,146,8.73,0,98.44
27-03-2016,25,42.07,33.83,3.03,171.25,8.91,1.2,98.35
28-03-2016,25.19,38.47,31.21,3.95,146.31,11.9,6.98,98.53
29-03-2016,23.26,40.48,31.96,2.95,197.44,10.68,0,98.43
30-03-2016,24.06,40.61,32.26,2.16,190.5,9.52,0.04,98.43
31-03-2016,24.19,41.12,32.9,2.57,181.19,9.7,0,98.3
01-04-2016,24.12,42.16,33.1,2.07,215.06,6.65,0.01,98.1
02-04-2016,23.31,42.6,33.18,1.84,151.56,5.8,0,98.19
