-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2016 through 03/31/2021 
Location: Latitude  20.1849   Longitude 79.9948 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 238.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,PS,WS10M,WD10M,QV2M,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN
2016,1,1,99.07,1.92,161.88,6.9,0.0,23.01,32.7,15.69
2016,1,2,99.04,2.05,176.19,6.84,0.0,23.18,31.76,15.05
2016,1,3,98.91,2.18,62.06,6.77,0.0,21.91,31.3,14.63
2016,1,4,98.98,2.75,69.5,6.1,0.0,21.45,31.48,13.77
2016,1,5,98.89,2.14,81.06,5.25,0.0,21.37,31.75,13.05
2016,1,6,98.88,1.91,115.44,5.13,0.0,21.81,32.26,13.05
2016,1,7,98.95,2.01,98.81,5.86,0.0,22.05,31.72,14.02
2016,1,8,98.89,1.59,220.81,5.92,0.0,23.08,31.71,14.13
2016,1,9,98.7,1.67,227.44,5.86,0.0,23.98,31.77,16.34
2016,1,10,98.85,2.01,121.38,5.92,0.0,22.54,31.23,15.69
2016,1,11,98.87,2.2,55.31,5.49,0.0,22.06,31.51,14.19
2016,1,12,98.69,1.93,93.62,4.64,0.0,22.26,31.9,15.14
2016,1,13,98.58,2.02,158.12,4.82,0.0,22.48,31.91,14.56
2016,1,14,98.62,2.33,154.62,5.62,0.0,22.68,31.73,14.4
2016,1,15,98.55,2.3,174.88,7.26,0.0,22.87,31.09,14.98
2016,1,16,98.46,2.23,171.75,7.75,0.0,24.01,31.32,16.99
2016,1,17,98.43,2.65,150.88,7.75,0.01,23.73,30.94,17.77
2016,1,18,98.38,2.87,172.19,7.87,0.01,24.08,31.3,18.09
2016,1,19,98.4,4.05,191.75,10.56,0.85,22.8,28.54,18.32
2016,1,20,98.67,2.97,172.38,7.87,0.02,21.13,29.12,15.21
2016,1,21,98.95,3.52,130.62,3.91,0.0,18.72,27.95,11.88
2016,1,22,99.01,3.3,44.88,3.17,0.0,17.74,27.8,9.72
2016,1,23,99.04,2.92,55.31,2.81,0.0,18.05,29.48,8.83
2016,1,24,98.92,2.6,151.19,2.56,0.0,19.26,30.94,9.26
2016,1,25,98.74,2.23,158.5,3.48,0.0,20.78,30.8,11.27
2016,1,26,98.63,2.05,156.69,7.39,0.0,22.54,31.24,13.76
2016,1,27,98.54,2.59,237.94,7.51,0.0,23.54,32.55,15.99
2016,1,28,98.64,2.29,154.12,3.78,0.0,23.15,33.46,12.77
2016,1,29,98.8,3.0,54.12,4.7,0.0,23.3,33.97,13.94
2016,1,30,98.75,1.68,233.81,4.7,0.0,25.2,35.35,15.08
2016,1,31,98.61,1.34,276.0,3.97,0.0,26.79,36.25,18.66
2016,2,1,98.64,1.89,222.88,4.52,0.0,26.4,35.9,18.03
2016,2,2,98.66,2.13,155.12,4.88,0.0,25.96,35.58,18.3
2016,2,3,98.61,2.71,158.12,4.94,0.0,24.5,34.77,15.65
2016,2,4,98.67,2.84,90.88,4.7,0.0,23.55,34.14,15.24
2016,2,5,98.6,1.98,158.88,4.39,0.0,24.39,34.12,14.48
2016,2,6,98.4,2.4,153.88,6.9,0.0,25.29,34.55,15.6
2016,2,7,98.54,2.79,168.38,10.68,0.0,26.79,34.0,19.4
2016,2,8,98.58,1.91,220.25,6.84,0.0,26.28,34.4,20.33
2016,2,9,98.58,2.33,149.81,4.64,0.0,24.65,34.05,15.51
2016,2,10,98.36,2.88,156.5,8.18,0.0,26.61,34.5,18.43
2016,2,11,98.25,3.32,230.5,8.91,0.0,27.7,34.94,22.29
2016,2,12,98.28,2.22,145.94,7.63,0.0,27.17,35.29,18.71
2016,2,13,98.36,3.11,214.31,9.64,0.0,28.08,35.62,21.98
2016,2,14,98.49,1.68,169.62,7.45,0.0,27.76,35.18,18.91
2016,2,15,98.59,2.65,154.19,9.22,0.0,28.42,35.31,23.22
2016,2,16,98.69,3.45,169.56,7.32,0.0,27.21,36.33,19.84
2016,2,17,98.74,2.15,108.62,6.23,0.0,27.51,37.05,18.1
2016,2,18,98.67,1.84,193.19,6.53,0.0,27.98,37.2,18.43
2016,2,19,98.74,2.46,191.56,5.68,0.0,27.77,37.19,18.3
2016,2,20,98.62,1.75,210.94,5.49,0.0,29.58,38.51,19.55
2016,2,21,98.46,1.68,199.31,6.23,0.0,30.23,38.7,22.96
2016,2,22,98.51,1.38,132.19,8.0,0.0,31.34,39.23,23.04
2016,2,23,98.39,2.2,163.75,8.24,0.0,30.26,37.75,23.01
2016,2,24,98.26,3.66,167.69,9.58,0.0,29.87,37.29,23.59
