-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2016 through 03/31/2021 
Location: Latitude  21.4549   Longitude 80.1961 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 342.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,PS,WS10M,WD10M,QV2M,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN
2016,1,1,97.9,2.18,141.69,5.8,0.0,22.48,31.81,13.72
2016,1,2,97.88,1.8,127.81,5.74,0.0,22.31,31.03,14.05
2016,1,3,97.78,2.55,73.38,4.27,0.0,21.05,30.17,13.35
2016,1,4,97.85,2.27,96.12,3.97,0.0,20.81,30.76,11.97
2016,1,5,97.73,1.41,146.25,3.97,0.0,21.72,30.9,11.88
2016,1,6,97.72,1.75,139.25,4.09,0.0,22.14,31.23,13.43
2016,1,7,97.79,1.76,185.12,4.94,0.0,21.62,30.37,13.66
2016,1,8,97.7,2.27,219.38,4.94,0.0,22.22,31.23,14.44
2016,1,9,97.51,2.9,225.69,5.37,0.0,22.08,31.18,15.03
2016,1,10,97.71,2.09,104.88,4.27,0.0,21.16,29.68,13.47
2016,1,11,97.72,1.95,137.44,3.91,0.0,20.92,30.33,12.12
2016,1,12,97.54,1.85,127.88,3.3,0.0,21.1,30.69,11.08
2016,1,13,97.42,2.23,158.56,3.91,0.0,21.19,30.73,11.97
2016,1,14,97.45,2.15,174.31,5.13,0.0,21.65,31.12,13.31
2016,1,15,97.35,2.41,198.88,6.47,0.0,22.43,30.57,14.46
2016,1,16,97.28,1.81,194.06,8.06,0.38,23.39,29.44,17.9
2016,1,17,97.33,2.55,83.69,8.73,2.34,20.5,26.51,16.73
2016,1,18,97.26,2.73,108.06,9.03,0.79,21.42,28.25,16.51
2016,1,19,97.18,4.57,202.75,9.09,1.11,21.49,27.59,16.63
2016,1,20,97.58,4.53,156.19,6.71,0.06,18.3,25.98,12.95
2016,1,21,97.83,3.18,118.62,3.3,0.0,16.19,25.92,8.02
2016,1,22,97.88,3.15,30.0,2.75,0.0,15.99,26.25,8.05
2016,1,23,97.9,2.22,70.56,2.14,0.0,16.82,27.69,6.69
2016,1,24,97.77,2.1,136.56,2.32,0.0,18.12,28.92,7.79
2016,1,25,97.58,2.26,147.0,2.81,0.0,19.15,29.42,8.66
2016,1,26,97.48,2.42,144.19,3.97,0.0,20.21,30.1,10.15
2016,1,27,97.39,2.52,160.94,3.97,0.0,20.86,30.83,11.52
2016,1,28,97.49,2.84,91.81,4.03,0.0,21.44,32.19,11.9
2016,1,29,97.67,2.72,45.19,4.82,0.0,23.0,33.37,13.7
