-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2016 through 03/31/2021 
Location: Latitude  20.7453   Longitude 78.6022 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 274.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,PS,WS10M,WD10M,QV2M,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN
2016,1,1,98.64,1.54,153.62,5.43,0.0,24.04,33.26,15.33
2016,1,2,98.62,1.61,170.31,5.19,0.0,23.89,32.73,15.73
2016,1,3,98.54,3.04,53.0,5.0,0.0,21.37,30.83,13.55
2016,1,4,98.6,2.89,72.38,5.25,0.0,21.12,30.84,12.82
2016,1,5,98.5,2.08,82.25,4.7,0.0,21.62,30.94,12.19
2016,1,6,98.48,1.83,95.69,4.46,0.0,22.37,31.69,12.69
2016,1,7,98.54,1.93,102.94,4.94,0.0,22.07,31.44,13.48
2016,1,8,98.49,1.27,201.81,5.43,0.0,23.55,31.62,15.47
2016,1,9,98.29,2.45,299.19,5.37,0.0,23.02,32.04,15.75
2016,1,10,98.46,2.41,78.5,4.58,0.0,21.57,30.64,13.75
2016,1,11,98.48,1.77,60.81,4.76,0.0,22.18,30.84,12.83
2016,1,12,98.28,1.99,92.62,4.03,0.0,22.38,31.42,13.4
2016,1,13,98.15,2.05,125.62,4.64,0.0,22.4,31.54,14.37
2016,1,14,98.17,3.35,145.44,5.74,0.0,22.8,31.8,14.82
2016,1,15,98.09,3.16,167.06,7.32,0.0,24.32,31.54,17.45
2016,1,16,98.0,2.55,170.31,7.87,0.02,24.76,31.11,19.6
2016,1,17,97.99,2.49,111.44,8.18,0.52,24.47,30.73,18.96
2016,1,18,97.93,3.27,145.69,8.48,0.04,24.49,31.05,19.08
2016,1,19,97.9,4.89,234.12,7.08,0.05,24.14,31.19,19.05
2016,1,20,98.32,4.12,118.94,6.1,0.0,20.22,28.33,13.81
2016,1,21,98.58,3.47,116.81,3.17,0.0,18.05,27.1,10.72
2016,1,22,98.63,3.42,51.06,2.81,0.0,17.18,27.48,8.51
2016,1,23,98.65,2.98,61.69,2.2,0.0,17.44,28.69,7.48
2016,1,24,98.52,2.35,125.62,2.44,0.0,19.24,30.51,7.95
2016,1,25,98.32,1.95,140.62,3.05,0.0,20.68,30.83,10.03
2016,1,26,98.22,1.95,127.5,5.0,0.0,22.0,31.54,12.33
2016,1,27,98.15,2.38,208.19,4.27,0.0,22.46,32.94,13.8
2016,1,28,98.27,2.3,58.69,3.48,0.0,22.86,32.93,12.49
2016,1,29,98.43,3.12,63.5,4.58,0.0,23.5,33.69,13.48
2016,1,30,98.35,1.72,207.5,4.27,0.0,24.81,35.29,14.17
2016,1,31,98.21,1.85,300.0,3.78,0.0,25.51,35.86,16.68
2016,2,1,98.26,2.68,195.31,4.64,0.0,24.9,35.33,15.53
2016,2,2,98.27,2.62,190.38,4.03,0.0,24.74,35.12,15.6
2016,2,3,98.25,3.41,114.94,4.94,0.0,23.98,33.98,15.38
2016,2,4,98.31,3.21,45.06,3.66,0.0,23.08,32.9,14.26
2016,2,5,98.2,2.34,128.12,3.36,0.0,23.48,33.48,13.55
2016,2,6,97.95,3.53,130.5,5.98,0.0,25.15,34.42,14.54
2016,2,7,98.09,4.67,236.75,8.06,0.0,26.96,34.59,21.76
2016,2,8,98.2,2.42,130.06,4.46,0.0,25.12,33.79,16.63
2016,2,9,98.2,2.33,128.69,4.27,0.0,24.38,32.82,14.51
2016,2,10,97.91,2.2,196.44,6.59,0.0,26.62,35.05,17.09
2016,2,11,97.83,3.05,305.88,6.23,0.0,26.8,35.37,20.31
2016,2,12,97.88,2.16,123.62,4.15,0.0,26.43,35.04,17.74
2016,2,13,97.98,2.89,267.06,5.37,0.0,26.37,35.27,18.44
2016,2,14,98.09,2.91,114.94,5.55,0.0,26.84,34.63,18.13
2016,2,15,98.14,3.84,130.31,8.0,0.0,28.58,35.2,23.17
2016,2,16,98.23,4.18,150.0,7.14,0.0,28.01,36.48,20.98
2016,2,17,98.34,3.3,128.25,6.1,0.0,27.27,35.89,18.47
2016,2,18,98.25,2.57,141.81,6.04,0.0,27.8,36.95,19.06
2016,2,19,98.29,3.08,169.0,4.94,0.0,27.96,37.93,18.55
