Date,Temp,Temp_Min,Temp_Max,WS,WD,HUM,PRE,SP
01-01-2016,23.8,15.95,33.69,2.38,184.44,4.33,0,96.3
02-01-2016,23.13,15.52,32.85,2.38,210.94,3.66,0,96.33
03-01-2016,21.52,13.49,31.07,2.92,47.19,3.85,0,96.21
04-01-2016,21.23,12.86,30.7,2.91,80.75,4.46,0,96.24
05-01-2016,21.48,13.9,30.94,2.59,93.12,4.33,0,96.15
06-01-2016,22.07,14.05,31.5,2.25,100.81,4.27,0,96.12
07-01-2016,21.88,14.21,30.87,2.61,108.75,4.46,0,96.19
08-01-2016,22.23,14.75,31.05,1.99,159.12,5.13,0,96.17
09-01-2016,22.33,15.26,31,2.52,266.56,4.82,0,96.01
10-01-2016,21.87,14.6,30.86,2.27,46.81,4.15,0,96.11
11-01-2016,21.79,14.42,30.64,2.09,69.44,3.91,0,96.13
12-01-2016,22.53,14.28,31.03,2.03,147.31,4.52,0,95.92
13-01-2016,22.75,14.53,30.98,2.27,172,5.07,0,95.8
14-01-2016,22.77,14.36,30.95,3.14,159.44,6.23,0,95.79
15-01-2016,24.03,16.85,30.49,2.97,177.25,7.45,0,95.75
16-01-2016,24.5,19.19,29.94,2.19,174.12,7.87,0.05,95.67
17-01-2016,24.03,19.15,29.73,2.34,123.44,8.12,0.14,95.63
18-01-2016,23.35,17.03,29.5,3.39,176.12,7.81,0,95.56
19-01-2016,21.53,16.52,29.18,4.61,282.69,5.8,0,95.63
20-01-2016,19.02,12.09,27.4,4.06,87.81,5.49,0,95.99
21-01-2016,17.51,10.18,26.59,3.59,122,2.99,0,96.23
22-01-2016,17.23,8.03,27.88,3.02,60.56,2.26,0,96.23
23-01-2016,18.19,8.98,29.1,2.98,77,1.89,0,96.24
24-01-2016,20.44,10.55,30.81,2.39,146.25,2.5,0,96.14
25-01-2016,21.28,12.05,31.33,2.13,139.06,2.99,0,95.95
26-01-2016,22.44,14.48,32.73,2.15,152.56,4.21,0,95.84
27-01-2016,22.14,12.73,33.26,2.8,244.5,2.38,0,95.86
28-01-2016,22.46,13.42,32.97,2.92,109.31,3.54,0,95.97
29-01-2016,22.9,13.92,33.17,3.61,68.88,4.03,0,96.12
30-01-2016,25.01,17.55,35.16,1.96,124.44,3.78,0,96.05
31-01-2016,24.68,15.27,35.19,2.58,256.94,3.85,0,95.94
01-02-2016,25.05,17.07,34.74,2.18,216.94,4.33,0,95.98
02-02-2016,24.55,15.99,34.72,2.69,241.56,3.72,0,95.98
03-02-2016,23.19,14.69,33.43,3.39,132.69,4.21,0,95.97
04-02-2016,22.31,13.08,32.93,2.74,100.12,3.48,0,95.96
05-02-2016,23.37,14.74,33.57,2.68,94.75,3.11,0,95.84
06-02-2016,24.55,15.86,34.14,4.32,165.62,5.8,0,95.59
07-02-2016,24.05,16.17,33.12,2.74,250.5,5.37,0,95.81
08-02-2016,23.55,14.9,32.94,2.54,86.38,4.64,0,95.9
09-02-2016,23.69,14.53,32.77,2.57,94.94,4.27,0,95.85
10-02-2016,25.16,16.68,34.47,3.27,231.38,5.92,0,95.63
11-02-2016,25.33,18.2,33.76,3.73,308.5,5.74,0,95.61
12-02-2016,24.62,15.45,33.83,3,298.75,4.21,0,95.63
13-02-2016,23.03,14.8,32.15,3.84,253.5,4.94,0,95.79
14-02-2016,24.64,15.86,33.55,2.7,66.56,4.94,0,95.79
15-02-2016,26.77,18.2,34.4,3.02,163.12,7.26,0,95.79
16-02-2016,27.05,20.18,35.27,3.66,159,6.41,0,95.87
17-02-2016,26.58,19.26,35.5,5.31,142.19,5.92,0,95.96
18-02-2016,26.43,17.51,35.97,3.8,144.69,5.74,0,95.92
19-02-2016,27.85,18.64,36.66,2.98,151.81,5.37,0,95.97
20-02-2016,28.27,20.7,35.76,2.14,301.56,5.92,0,95.97
21-02-2016,29.04,21.34,36.81,3.41,325.31,9.09,0,95.86
22-02-2016,29.88,21.67,37.85,2.14,213.38,8.36,0,95.87
23-02-2016,29.14,22.08,37.76,2.63,125.88,6.1,0,95.7
24-02-2016,29.41,21.63,38.44,2.53,148.62,4.03,0,95.55
25-02-2016,28.59,19.74,38.11,2.85,148.19,2.93,0,95.66
26-02-2016,28.44,20.08,37.85,2.53,129.88,4.27,0,95.8
27-02-2016,29.44,21.3,37,2.12,117.81,8.79,0.02,95.93
28-02-2016,30.47,23.41,36.94,2.81,102.75,9.28,0.43,96.04
29-02-2016,30.24,25.51,35.12,2.34,146.19,10.25,1.81,96.05
01-03-2016,27.09,23.04,32.27,2.83,169.94,12.94,7.5,95.99
02-03-2016,27.92,20.64,35.31,2.44,148.06,11.29,0.05,95.95
03-03-2016,28.65,21.68,36.02,2.23,135.69,10.25,0.43,96.02
04-03-2016,28.69,22.29,35.19,0.96,134.69,10.07,3.06,95.9
05-03-2016,29.19,22.63,36.08,1.41,228.94,9.58,0.04,95.72
06-03-2016,29.01,23.65,36.35,2.55,241.56,9.22,0.06,95.66
07-03-2016,28.62,21.3,36.64,2.2,216.94,8.36,0.05,95.63
08-03-2016,28.7,20.25,37.05,2.24,272.19,6.65,0,95.56
09-03-2016,29.33,23.2,35.37,1.62,235.75,6.96,0,95.64
10-03-2016,29.39,21.62,38.07,2.36,242.88,6.04,0,95.75
11-03-2016,29.9,22.42,38.55,2.46,89.44,5.68,0,95.74
12-03-2016,30.94,22.92,39.54,4.2,233.69,6.71,0,95.51
13-03-2016,28.61,22.37,36.05,4.47,301.12,6.96,0.22,95.6
14-03-2016,26.72,18.91,35.39,4.38,302.75,4.82,0,95.75
15-03-2016,27.42,18.24,36.42,2.72,122.25,4.88,0,95.68
16-03-2016,27.76,19.33,36.33,3.91,55.25,7.2,0,95.62
17-03-2016,29.62,21.2,38.04,2.52,156.56,8.18,0,95.58
18-03-2016,30.43,22.24,39.05,3.9,299.56,6.84,0,95.59
19-03-2016,30.67,23.08,38.94,4.37,327.31,7.14,0,95.63
20-03-2016,30.36,22.25,38.9,4.24,326.62,6.47,0,95.69
21-03-2016,29.71,21.87,38.59,4.56,320.69,4.58,0,95.6
22-03-2016,29.15,19.19,39.35,3.58,213,2.99,0,95.5
23-03-2016,29.92,19.76,39.97,3.11,33.19,2.99,0,95.57
24-03-2016,29.99,19.15,40.67,3.64,68.19,2.26,0,95.75
25-03-2016,31.06,21.16,41.23,3.49,104.5,3.23,0,95.76
26-03-2016,32.73,23.71,41.31,2.74,164.44,6.71,0.03,95.65
27-03-2016,32.4,24.09,40.16,2.98,260.19,6.84,1.1,95.62
28-03-2016,32.07,24.78,39.98,2.33,187.12,7.26,1.06,95.69
29-03-2016,30.83,21.13,40.17,2.6,319.81,3.97,0,95.7
30-03-2016,30.98,22.08,40.26,2.33,324.81,3.3,0,95.69
31-03-2016,30.76,21.61,40.55,3.66,329.06,3.36,0,95.6
01-04-2016,31.29,22.31,40.65,3.45,330.69,4.21,0,95.43
02-04-2016,32.82,22.86,42.23,2.64,248.88,5,0,95.47
03-04-2016,33.38,24.56,42.3,3.77,330.25,7.26,0,95.56
04-04-2016,34.11,27.4,41.69,4.02,287.44,7.81,0,95.42
05-04-2016,31.98,27.66,36.77,4.4,257.06,8.36,0.01,95.51
06-04-2016,32.64,25.98,39.86,2.66,121.19,9.64,1.15,95.54
07-04-2016,32.73,25.48,39.83,2.34,131.62,8.61,0.04,95.49
08-04-2016,33.49,25.55,41.02,2.34,251.5,6.59,0,95.44
09-04-2016,33.5,25.37,40.94,2.29,296.81,6.47,0,95.51
10-04-2016,34.7,28.1,41.37,1.4,286.75,7.45,0,95.57
11-04-2016,33.73,26.02,41.15,4.73,336.56,7.02,0,95.54
12-04-2016,33.65,25.47,41.74,3.98,312.56,6.47,0,95.39
13-04-2016,33.33,25.28,41.77,4.57,330.69,5.43,0,95.24
14-04-2016,33.44,23.38,42.45,2.85,264.94,3.91,0,95.26
15-04-2016,34.37,23.99,43.54,2.06,207.06,3.91,0,95.33
16-04-2016,34.71,25.1,43.62,3.12,341.31,5.62,0,95.27
17-04-2016,34.44,26.05,43.05,4.62,325.81,5.68,0,95.24
18-04-2016,34.29,25.35,42.26,2.73,254.06,7.02,0,95.33
19-04-2016,35.06,27.67,41.98,2.68,216.44,9.03,0,95.37
20-04-2016,36.62,30.8,43.09,3.01,291.81,9.28,0,95.44
21-04-2016,36.32,29.61,43.39,4.94,324.88,7.45,0,95.33
22-04-2016,34.71,26.58,43.6,6.05,294.06,6.16,0,95.21
23-04-2016,32.75,23.73,41.58,5.96,302.38,7.26,0,95.12
24-04-2016,32.81,24.19,41.09,4.57,312.56,7.08,0,95.07
25-04-2016,33.5,24.54,41.98,3.78,316.62,6.59,0,95.17
26-04-2016,34.28,25.48,42.63,3.81,241,6.53,0,95.37
27-04-2016,34.58,25.42,42.32,2.62,293.38,5.92,0.06,95.33
28-04-2016,35.46,27.1,42.62,1.45,220.19,7.63,0.02,95.27
29-04-2016,36.18,29.31,42.64,1.64,190.38,6.53,0,95.26
30-04-2016,35.64,28.4,43.06,3.47,309.31,7.08,0.07,95.31
01-05-2016,35.48,27.32,42.79,3.99,306,7.63,0,95.25
02-05-2016,35.76,27.83,43.5,4.29,310.88,7.02,0.13,95.26
03-05-2016,34.39,28.62,41.38,3.77,247.31,6.65,0,95.27
04-05-2016,34.84,26.26,42.05,2.31,272.38,6.77,0,95.24
05-05-2016,34.08,26.87,40.55,1.66,193.06,9.58,2.11,95.34
06-05-2016,32.32,27.15,37.88,2.67,120.94,11.78,5.68,95.37
07-05-2016,32.16,25.4,38.44,2.41,145.62,12.21,0.67,95.35
08-05-2016,33,27.4,39.12,2.87,116.19,13.06,2.49,95.43
09-05-2016,32.62,26.07,38.61,2.73,111.06,12.76,0.04,95.44
10-05-2016,33.51,25.94,40.02,2.35,213,11.72,0.34,95.41
11-05-2016,35.51,28.44,42.07,1.96,134.62,11.05,0.98,95.29
12-05-2016,35.18,27.88,41.84,3.61,303.5,11.41,0.77,95.11
13-05-2016,35.6,28.21,43.11,3.24,323.5,10.5,0.54,95.09
14-05-2016,36.42,28.83,43.69,4.34,334.56,10.62,0,95.19
15-05-2016,36.67,28.2,44.47,3.7,322.12,8.12,0,95.19
16-05-2016,36.16,27.58,43.34,2.62,294.19,8.12,0,95.02
17-05-2016,36.88,28.35,44.89,3.13,327.38,7.51,0,94.8
18-05-2016,37.56,30.44,45.06,3.34,137.44,10.5,0,94.62
19-05-2016,37.83,30.94,44.62,3.59,151.06,10.99,0,94.59
20-05-2016,37.3,32.02,44.57,7.46,280.06,10.62,0.02,94.6
21-05-2016,34.81,26.87,42.85,8.91,291.06,11.72,0.04,94.84
22-05-2016,34.62,25.75,43.08,7.98,294.25,11.35,0,95.04
23-05-2016,33.84,25.44,41.66,8.88,298.31,13.31,0,95.15
24-05-2016,34.54,25.92,42.73,7,304.81,11.23,0,95.13
25-05-2016,34.4,25.19,42.08,8.05,298.94,12.02,0,95.04
26-05-2016,34.67,25.75,42.29,5.92,300,11.9,0,95.08
27-05-2016,35.05,26.92,42.2,6.73,306.56,13,0,95.18
28-05-2016,34.09,26.3,40.69,7.59,304.38,13.12,0,95.16
29-05-2016,33.98,26.15,40.55,6.9,307.06,13.18,0,95.07
30-05-2016,34.1,26.09,41.12,5.88,311.94,12.45,0.01,95.05
31-05-2016,34.61,26.91,41.17,5.26,311.94,11.72,0,95.14
01-06-2016,35.14,27.65,41.76,6.1,322.81,11.41,0,95.14
02-06-2016,34.44,27.93,39.76,6.3,317.5,12.08,0.39,95.1
03-06-2016,35.56,28.42,41.19,6.38,322.31,11.41,0.64,94.98
04-06-2016,37.14,30.79,43.6,5.7,182.19,10.99,4.71,94.9
05-06-2016,34.77,29.08,41.98,5.95,220.44,13.12,6.01,94.94
