Date,Temp,Temp_Max,Temp_Min,WS,WD,PRE,HUM,SP
01-01-2016,24.3,33.64,16.01,1.59,146.12,0,4.7,98.1
02-01-2016,23.38,32.96,14.53,2.2,181.06,0,4.46,98.1
03-01-2016,21.53,31.01,13.49,2.98,59.5,0,4.33,98.01
04-01-2016,21.24,30.83,12.83,2.9,79.31,0,4.64,98.07
05-01-2016,21.63,30.82,12.38,2.18,93.19,0,4.52,97.97
06-01-2016,22.55,31.71,13.84,1.92,99.56,0,4.09,97.94
07-01-2016,22.08,31.33,14.25,2.1,103.06,0,4.33,98
08-01-2016,23.31,31.6,16.31,1.25,237,0,5.19,97.96
09-01-2016,23.01,31.98,15.84,2.67,301.5,0,5.07,97.77
10-01-2016,21.83,30.83,13.73,2.25,91.06,0,4.21,97.93
11-01-2016,22.25,30.84,13.08,1.74,72.5,0,4.15,97.95
12-01-2016,22.58,31.31,14.18,1.92,92.88,0,4.15,97.74
13-01-2016,22.51,31.44,14.63,2.17,149.06,0,4.46,97.61
14-01-2016,23.15,31.9,14.86,3.27,148.69,0,5.8,97.61
15-01-2016,24.67,31.43,17.71,3.27,169.81,0,7.45,97.54
16-01-2016,25.08,30.87,20.31,2.5,172.75,0.05,7.93,97.46
17-01-2016,24.58,30.59,19.11,2.42,106.38,0.7,8.24,97.45
18-01-2016,24.33,30.37,18.77,3.55,140.44,0.01,8.54,97.39
19-01-2016,23.62,30.88,18.5,4.61,231.94,0,6.77,97.37
20-01-2016,19.81,28.01,13.14,4.21,120.38,0,5.74,97.8
21-01-2016,17.88,26.97,10.56,3.41,131.25,0,2.99,98.05
22-01-2016,17.19,27.45,8.26,3.29,63.06,0,2.62,98.09
23-01-2016,17.52,28.64,7.52,2.88,71.62,0,2.08,98.11
24-01-2016,19.16,30.45,8.14,2.39,123.62,0,2.26,97.98
25-01-2016,20.89,30.95,10.52,2.04,136.44,0,2.87,97.78
26-01-2016,21.95,31.85,12.37,2.05,122.62,0,4.52,97.67
27-01-2016,22.12,33.05,13.35,2.57,208.88,0,3.17,97.63
28-01-2016,22.85,33.06,13.01,2.27,80,0,3.17,97.74
29-01-2016,23.55,33.58,13.61,3.09,74.56,0,4.39,97.91
30-01-2016,24.79,35.32,14.73,1.8,208.81,0,4.09,97.83
31-01-2016,25.19,35.83,16.86,2.35,317.81,0,3.78,97.69
01-02-2016,24.83,35.04,16.43,2.52,207.88,0,4.39,97.75
02-02-2016,24.73,34.95,16.37,2.6,193.75,0,3.78,97.75
03-02-2016,23.86,33.91,15.36,3.45,156,0,4.76,97.73
04-02-2016,22.77,32.8,13.58,2.77,75.44,0,3.54,97.78
05-02-2016,23.55,33.46,14.12,2.34,118.5,0,2.99,97.66
06-02-2016,25.1,34.65,14.81,3.65,140.31,0,5.62,97.4
07-02-2016,26.17,34.19,20.43,3.95,253.75,0,6.59,97.57
08-02-2016,24.65,33.57,16.07,2.45,125.94,0,4.39,97.68
09-02-2016,24.12,32.76,14.25,2.21,111.75,0,4.15,97.66
10-02-2016,25.96,35.33,17.04,2.91,209.38,0,6.1,97.38
11-02-2016,26.24,34.82,19.87,3.78,297.38,0,5.68,97.33
12-02-2016,25.88,34.93,16.67,2.16,141.69,0,3.97,97.36
13-02-2016,25.23,34.18,17.33,3.51,294.06,0,4.76,97.5
14-02-2016,26.12,34.32,17.61,3.03,115.25,0,5.19,97.57
15-02-2016,28.12,35.36,21.71,3.96,134.56,0,7.63,97.58
16-02-2016,28.11,36.74,20.42,4.17,152.62,0,6.96,97.68
17-02-2016,27,35.95,18.82,4.2,136.25,0,6.04,97.79
18-02-2016,27.4,36.8,18.9,2.76,135.81,0,5.8,97.71
19-02-2016,28.13,37.8,18.65,2.95,167.88,0,4.76,97.75
20-02-2016,28.66,37.22,19.94,2.8,258.69,0,4.76,97.7
21-02-2016,29.99,37.36,22.26,2.97,304.5,0,8.67,97.57
22-02-2016,30.57,38.44,22.08,2.14,136.69,0,7.75,97.61
23-02-2016,30.44,38.8,22.8,2.55,152.81,0,5.74,97.44
24-02-2016,29.85,38.95,21.94,2.94,163.38,0,4.33,97.29
25-02-2016,29.82,38.03,21.58,2.88,88.56,0,6.71,97.38
26-02-2016,30.06,37.27,23.11,2.95,128.38,0.08,9.95,97.56
27-02-2016,30.38,36.72,23.84,2.52,101.12,0.52,10.62,97.73
28-02-2016,30.48,36.93,23.83,3.27,90.94,1.96,9.95,97.86
29-02-2016,30.03,35.9,25.22,3.6,100.38,1.25,11.11,97.86
01-03-2016,28.47,34.3,23.89,1.96,189.69,3.22,12.27,97.75
02-03-2016,28.94,36.08,22.78,2.47,140.12,0.31,10.93,97.73
03-03-2016,29.51,37.38,23.18,2.09,111.81,0.04,8.79,97.77
04-03-2016,29.12,36.52,21.89,2.04,244.69,4.9,10.31,97.61
05-03-2016,29.51,36.96,21.48,2.23,222.19,0.58,10.31,97.46
06-03-2016,29.19,35.77,23.87,3.34,153.88,0.76,10.44,97.43
07-03-2016,30.1,37.78,22.87,2.37,183.06,0.2,10.13,97.36
08-03-2016,30.24,38.48,22.55,1.93,213.19,0,7.63,97.28
09-03-2016,30.21,36.38,23.28,1.5,188.19,0,7.39,97.37
10-03-2016,30.48,38.87,22.82,2.09,253.88,0,6.53,97.47
11-03-2016,30.4,39.28,22.17,2.62,94,0,6.35,97.48
12-03-2016,32.25,40.82,24.01,3.58,209.94,0.09,7.45,97.22
13-03-2016,29.9,37.81,23.37,3.4,249.38,1.03,7.63,97.29
